file_name,cwe,severity
BenchmarkTest02656,"[89, 564]",high
BenchmarkTest02655,"[89, 564]",high
BenchmarkTest02654,"[89, 564]",high
BenchmarkTest02653,"[89, 564]",high
BenchmarkTest02651,"[89, 564]",high
BenchmarkTest02650,"[89, 564]",high
BenchmarkTest05649,"[89, 564]",high
BenchmarkTest05648,"[89, 564]",high
BenchmarkTest05647,"[89, 564]",high
BenchmarkTest05645,"[89, 564]",high
BenchmarkTest05644,"[89, 564]",high
BenchmarkTest05643,"[89, 564]",high
BenchmarkTest05642,"[89, 564]",high
BenchmarkTest05641,"[89, 564]",high
BenchmarkTest05640,"[89, 564]",high
BenchmarkTest02636,"[89, 564]",high
BenchmarkTest02635,"[89, 564]",high
BenchmarkTest02634,"[89, 564]",high
BenchmarkTest02632,"[89, 564]",high
BenchmarkTest02630,"[89, 564]",high
BenchmarkTest02629,"[89, 564]",high
BenchmarkTest02628,"[89, 564]",high
BenchmarkTest02627,"[89, 564]",high
BenchmarkTest02625,"[89, 564]",high
BenchmarkTest02546,"[89, 564]",high
BenchmarkTest02545,"[89, 564]",high
BenchmarkTest02544,"[89, 564]",high
BenchmarkTest02543,"[89, 564]",high
BenchmarkTest02542,"[89, 564]",high
BenchmarkTest02535,"[89, 564]",high
BenchmarkTest02534,"[89, 564]",high
BenchmarkTest02533,"[89, 564]",high
BenchmarkTest02532,"[89, 564]",high
BenchmarkTest02531,"[89, 564]",high
BenchmarkTest02530,"[89, 564]",high
BenchmarkTest02529,"[89, 564]",high
BenchmarkTest02528,"[89, 564]",high
BenchmarkTest02451,"[89, 564]",high
BenchmarkTest02454,"[89, 564]",high
BenchmarkTest02455,"[89, 564]",high
BenchmarkTest02449,"[89, 564]",high
BenchmarkTest02453,"[89, 564]",high
BenchmarkTest02369,"[89, 564]",high
BenchmarkTest02365,"[89, 564]",high
BenchmarkTest02364,"[89, 564]",high
BenchmarkTest02362,"[89, 564]",high
BenchmarkTest02360,"[89, 564]",high
BenchmarkTest02359,"[89, 564]",high
BenchmarkTest02358,"[89, 564]",high
BenchmarkTest02357,"[89, 564]",high
BenchmarkTest02356,"[89, 564]",high
BenchmarkTest02355,"[89, 564]",high
BenchmarkTest02354,"[89, 564]",high
BenchmarkTest02288,"[89, 564]",high
BenchmarkTest02287,"[89, 564]",high
BenchmarkTest02286,"[89, 564]",high
BenchmarkTest02284,"[89, 564]",high
BenchmarkTest02283,"[89, 564]",high
BenchmarkTest02281,"[89, 564]",high
BenchmarkTest02280,"[89, 564]",high
BenchmarkTest02278,"[89, 564]",high
BenchmarkTest02277,"[89, 564]",high
BenchmarkTest02275,"[89, 564]",high
BenchmarkTest02274,"[89, 564]",high
BenchmarkTest02270,"[89, 564]",high
BenchmarkTest02269,"[89, 564]",high
BenchmarkTest02268,"[89, 564]",high
BenchmarkTest02267,"[89, 564]",high
BenchmarkTest02266,"[89, 564]",high
BenchmarkTest02265,"[89, 564]",high
BenchmarkTest02264,"[89, 564]",high
BenchmarkTest02187,"[89, 564]",high
BenchmarkTest02186,"[89, 564]",high
BenchmarkTest02185,"[89, 564]",high
BenchmarkTest02184,"[89, 564]",high
BenchmarkTest01967,"[89, 564]",high
BenchmarkTest01971,"[89, 564]",high
BenchmarkTest01970,"[89, 564]",high
BenchmarkTest01964,"[89, 564]",high
BenchmarkTest01962,"[89, 564]",high
BenchmarkTest01891,"[89, 564]",high
BenchmarkTest01890,"[89, 564]",high
BenchmarkTest01889,"[89, 564]",high
BenchmarkTest01888,"[89, 564]",high
BenchmarkTest01887,"[89, 564]",high
BenchmarkTest01885,"[89, 564]",high
BenchmarkTest01883,"[89, 564]",high
BenchmarkTest01882,"[89, 564]",high
BenchmarkTest01880,"[89, 564]",high
BenchmarkTest01879,"[89, 564]",high
BenchmarkTest01877,"[89, 564]",high
BenchmarkTest01733,"[89, 564]",high
BenchmarkTest01731,"[89, 564]",high
BenchmarkTest01730,"[89, 564]",high
BenchmarkTest01729,"[89, 564]",high
BenchmarkTest01728,"[89, 564]",high
BenchmarkTest01726,"[89, 564]",high
BenchmarkTest01725,"[89, 564]",high
BenchmarkTest01724,"[89, 564]",high
BenchmarkTest01723,"[89, 564]",high
BenchmarkTest01722,"[89, 564]",high
BenchmarkTest01721,"[89, 564]",high
BenchmarkTest01720,"[89, 564]",high
BenchmarkTest01719,"[89, 564]",high
BenchmarkTest01718,"[89, 564]",high
BenchmarkTest01717,"[89, 564]",high
BenchmarkTest01716,"[89, 564]",high
BenchmarkTest01715,"[89, 564]",high
BenchmarkTest01713,"[89, 564]",high
BenchmarkTest01712,"[89, 564]",high
BenchmarkTest01631,"[89, 564]",high
BenchmarkTest01627,"[89, 564]",high
BenchmarkTest01630,"[89, 564]",high
BenchmarkTest01628,"[89, 564]",high
BenchmarkTest01626,"[89, 564]",high
BenchmarkTest01625,"[89, 564]",high
BenchmarkTest01623,"[89, 564]",high
BenchmarkTest01622,"[89, 564]",high
BenchmarkTest01621,"[89, 564]",high
BenchmarkTest01620,"[89, 564]",high
BenchmarkTest01559,"[89, 564]",high
BenchmarkTest01560,"[89, 564]",high
BenchmarkTest01558,"[89, 564]",high
BenchmarkTest01557,"[89, 564]",high
BenchmarkTest01556,"[89, 564]",high
BenchmarkTest01555,"[89, 564]",high
BenchmarkTest01554,"[89, 564]",high
BenchmarkTest01553,"[89, 564]",high
BenchmarkTest01552,"[89, 564]",high
BenchmarkTest01477,"[89, 564]",high
BenchmarkTest01475,"[89, 564]",high
BenchmarkTest01476,"[89, 564]",high
BenchmarkTest01474,"[89, 564]",high
BenchmarkTest01473,"[89, 564]",high
BenchmarkTest01470,"[89, 564]",high
BenchmarkTest01467,"[89, 564]",high
BenchmarkTest01466,"[89, 564]",high
BenchmarkTest01465,"[89, 564]",high
BenchmarkTest01462,"[89, 564]",high
BenchmarkTest01464,"[89, 564]",high
BenchmarkTest01463,"[89, 564]",high
BenchmarkTest01461,"[89, 564]",high
BenchmarkTest01460,"[89, 564]",high
BenchmarkTest01459,"[89, 564]",high
BenchmarkTest01396,"[89, 564]",high
BenchmarkTest01395,"[89, 564]",high
BenchmarkTest01394,"[89, 564]",high
BenchmarkTest01391,"[89, 564]",high
BenchmarkTest01390,"[89, 564]",high
BenchmarkTest01389,"[89, 564]",high
BenchmarkTest01386,"[89, 564]",high
BenchmarkTest01388,"[89, 564]",high
BenchmarkTest01384,"[89, 564]",high
BenchmarkTest01385,"[89, 564]",high
BenchmarkTest01383,"[89, 564]",high
BenchmarkTest01382,"[89, 564]",high
BenchmarkTest01381,"[89, 564]",high
BenchmarkTest01379,"[89, 564]",high
BenchmarkTest01314,"[89, 564]",high
BenchmarkTest01312,"[89, 564]",high
BenchmarkTest01313,"[89, 564]",high
BenchmarkTest01311,"[89, 564]",high
BenchmarkTest01310,"[89, 564]",high
BenchmarkTest01308,"[89, 564]",high
BenchmarkTest01306,"[89, 564]",high
BenchmarkTest01304,"[89, 564]",high
BenchmarkTest01303,"[89, 564]",high
BenchmarkTest01302,"[89, 564]",high
BenchmarkTest01222,"[89, 564]",high
BenchmarkTest01221,"[89, 564]",high
BenchmarkTest01219,"[89, 564]",high
BenchmarkTest01216,"[89, 564]",high
BenchmarkTest01215,"[89, 564]",high
BenchmarkTest01211,"[89, 564]",high
BenchmarkTest01212,"[89, 564]",high
