Test Name,Category,Real Vulnerability,Severity,Impacts,Security Standards
BenchmarkTest00001.java,javasecurity:S2083,true,BLOCKER,"[{'softwareQuality': 'SECURITY', 'severity': 'BLOCKER'}]","cwe:20, cwe:22, owaspAsvs-4.0:12.3.1, owaspAsvs-4.0:5.1.3, owaspAsvs-4.0:5.1.4, owaspTop10-2021:a1, owaspTop10-2021:a3, owaspTop10:a1, owaspTop10:a5, pciDss-3.2:6.5.8, pciDss-4.0:6.2.4, stig-ASD_V5R3:V-222609"
BenchmarkTest00002.java,javasecurity:S2083,true,BLOCKER,"[{'softwareQuality': 'SECURITY', 'severity': 'BLOCKER'}]","cwe:20, cwe:22, owaspAsvs-4.0:12.3.1, owaspAsvs-4.0:5.1.3, owaspAsvs-4.0:5.1.4, owaspTop10-2021:a1, owaspTop10-2021:a3, owaspTop10:a1, owaspTop10:a5, pciDss-3.2:6.5.8, pciDss-4.0:6.2.4, stig-ASD_V5R3:V-222609"
BenchmarkTest00005.java,java:S5542,true,CRITICAL,"[{'softwareQuality': 'SECURITY', 'severity': 'HIGH'}]","cwe:327, cwe:780, owaspAsvs-4.0:2.9.3, owaspAsvs-4.0:6.2.2, owaspAsvs-4.0:8.3.7, owaspTop10-2021:a2, owaspTop10:a3, owaspTop10:a6, pciDss-3.2:4.1, pciDss-3.2:6.5.3, pciDss-3.2:6.5.4, pciDss-4.0:4.2.1, pciDss-4.0:6.2.4"
BenchmarkTest00005.java,java:S5547,true,CRITICAL,"[{'softwareQuality': 'SECURITY', 'severity': 'HIGH'}]","cwe:326, cwe:327, owaspAsvs-4.0:6.2.2, owaspAsvs-4.0:6.2.3, owaspAsvs-4.0:6.2.5, owaspAsvs-4.0:8.3.7, owaspTop10-2021:a2, owaspTop10:a3, owaspTop10:a6, pciDss-3.2:4.1, pciDss-3.2:6.5.3, pciDss-3.2:6.5.4, pciDss-4.0:4.2.1, pciDss-4.0:6.2.4, stig-ASD_V5R3:V-222396"
BenchmarkTest00007.java,javasecurity:S6547,true,MAJOR,"[{'softwareQuality': 'SECURITY', 'severity': 'MEDIUM'}]","cwe:20, cwe:454, owaspAsvs-4.0:5.1.3, owaspAsvs-4.0:5.1.4, owaspTop10-2021:a3, owaspTop10:a1, stig-ASD_V5R3:V-222609"
BenchmarkTest00008.java,javasecurity:S3649,true,BLOCKER,"[{'softwareQuality': 'SECURITY', 'severity': 'BLOCKER'}]","cwe:20, cwe:89, owaspAsvs-4.0:5.1.3, owaspAsvs-4.0:5.1.4, owaspAsvs-4.0:5.3.4, owaspAsvs-4.0:5.3.5, owaspTop10-2021:a3, owaspTop10:a1, pciDss-3.2:6.5.1, pciDss-4.0:6.2.4, stig-ASD_V5R3:V-222607, stig-ASD_V5R3:V-222609"
BenchmarkTest00012.java,javasecurity:S2078,true,BLOCKER,"[{'softwareQuality': 'SECURITY', 'severity': 'BLOCKER'}]","cwe:20, cwe:90, owaspAsvs-4.0:5.1.3, owaspAsvs-4.0:5.1.4, owaspAsvs-4.0:5.3.7, owaspTop10-2021:a3, owaspTop10:a1, pciDss-3.2:6.5.1, pciDss-4.0:6.2.4, stig-ASD_V5R3:V-222609"
BenchmarkTest00013.java,javasecurity:S5131,true,BLOCKER,"[{'softwareQuality': 'SECURITY', 'severity': 'BLOCKER'}]","cwe:79, owaspAsvs-4.0:5.3.3, owaspTop10-2021:a3, owaspTop10:a7, pciDss-3.2:6.5.7, pciDss-4.0:6.2.4, stig-ASD_V5R3:V-222602, stig-ASD_V5R3:V-222609"
BenchmarkTest00014.java,javasecurity:S5131,true,BLOCKER,"[{'softwareQuality': 'SECURITY', 'severity': 'BLOCKER'}]","cwe:79, owaspAsvs-4.0:5.3.3, owaspTop10-2021:a3, owaspTop10:a7, pciDss-3.2:6.5.7, pciDss-4.0:6.2.4, stig-ASD_V5R3:V-222602, stig-ASD_V5R3:V-222609"
BenchmarkTest00017.java,javasecurity:S2076,true,BLOCKER,"[{'softwareQuality': 'SECURITY', 'severity': 'BLOCKER'}]","cwe:20, cwe:78, owaspAsvs-4.0:12.3.5, owaspAsvs-4.0:5.1.3, owaspAsvs-4.0:5.1.4, owaspAsvs-4.0:5.3.8, owaspTop10-2021:a3, owaspTop10:a1, pciDss-3.2:6.5.1, pciDss-4.0:6.2.4, stig-ASD_V5R3:V-222604, stig-ASD_V5R3:V-222609"
